gages
USGS-01029100
USGS-01036390
USGS-01087000
USGS-0110057120
USGS-0110057380
USGS-01100580
USGS-011006988
USGS-01104405
USGS-01104410
USGS-01104453
USGS-01104501
USGS-011055525
USGS-01111230
USGS-01115278
USGS-01115297
USGS-01125000
USGS-0112779610
USGS-01137940
USGS-01141500
USGS-01155910
USGS-01165150
USGS-01173180
USGS-01192704
USGS-01193050
USGS-01200600
USGS-01203000
USGS-01208760
USGS-01302050
USGS-01311810
USGS-01315226
USGS-01335755
USGS-01367715
USGS-01376534
USGS-01376558
USGS-01379700
USGS-01380100
USGS-01396000
USGS-01396001
USGS-01396190
USGS-01398107
USGS-01399190
USGS-01399200
USGS-01401301
USGS-01403500
USGS-01403535
USGS-01408150
USGS-01440200
USGS-01460500
USGS-01460860
USGS-01464930
USGS-01465880
USGS-01467024
USGS-01467031
USGS-01467200
USGS-01473730
USGS-01482100
USGS-01482695
USGS-01484080
USGS-01484085
USGS-01541248
USGS-01573684
USGS-01576381
USGS-01608070
USGS-01642600
USGS-01643580
USGS-01651003
USGS-01651730
USGS-01651827
USGS-01652090
USGS-01652620
USGS-01654670
USGS-016701405
USGS-01670200
USGS-01671200
USGS-0204309906
USGS-0204382800
USGS-02047370
USGS-02050000
USGS-02081022
USGS-02081054
USGS-02086799
USGS-0208732593
USGS-02087570
USGS-0209205053
USGS-02092554
USGS-02103770
USGS-0210398250
USGS-02104000
USGS-02108566
USGS-02110760
USGS-02110777
USGS-02110815
USGS-0212430293
USGS-02131309
USGS-021313485
USGS-02131455
USGS-02132500
USGS-02136030
USGS-02138816
USGS-02145642
USGS-0214645022
USGS-021473428
USGS-0215329875
USGS-02153800
USGS-02157475
USGS-02157530
USGS-02159500
USGS-02160000
USGS-02160300
USGS-021624101
USGS-02169630
USGS-02171700
USGS-02172040
USGS-021720677
USGS-021720698
USGS-02172640
USGS-02174250
USGS-02175148
USGS-02185200
USGS-02186645
USGS-02195150
USGS-02196670
USGS-02196689
USGS-02197300
USGS-02198810
USGS-02198840
USGS-02198920
USGS-02198950
USGS-02198955
USGS-021989773
USGS-021989792
USGS-02198980
USGS-02203536
USGS-02203800
USGS-02205522
USGS-02207448
USGS-02208050
USGS-02208130
USGS-02223382
USGS-02226160
USGS-02228070
USGS-02231175
USGS-02231254
USGS-02238000
USGS-02246160
USGS-022462002
USGS-02246518
USGS-02247222
USGS-0229070854
USGS-022908205
USGS-02301328
USGS-02301405
USGS-02310368
USGS-02324500
USGS-02327031
USGS-02342937
USGS-023432415
USGS-02354800
USGS-02378185
USGS-02389050
USGS-02397410
USGS-02398037
USGS-02400496
USGS-02401330
USGS-02411590
USGS-02413205
USGS-02413215
USGS-02414300
USGS-02423110
