usgs_id,gage_name,latitude,longitude,nwm_feature_id,geoglows_river_id,verification_status
USGS-05536255,"BUTTERFIELD CREEK AT FLOSSMOOR, IL",41.5398611,-87.6494444,,,Unverified
USGS-05536343,"NATALIE CREEK AT MIDLOTHIAN, IL",41.62166667,-87.7333333,,,Unverified
USGS-05536580,"STONY CREEK (WEST) NEAR WORTH, IL",41.68902778,-87.8299444,,,Unverified
USGS-05595820,"CASEY FORK AT MOUNT VERNON, IL",38.28666667,-88.8722222,,,Unverified
USGS-03330500,"TIPPECANOE RIVER AT OSWEGO, IN",41.32060147,-85.78915649,,,Unverified
USGS-033521504,"SAND CREEK AT 116TH STREET AT FISHERS, IN",39.95694444,-85.9891667,,,Unverified
USGS-03353415,"SCHOOL BRANCH AT MALONEY ROAD NEAR BROWNSBURG, IN",39.88577778,-86.3554444,,,Unverified
USGS-03353420,"SCHOOL BRANCH AT CR750N AT BROWNSBURG, IN",39.8725833,-86.3615278,,,Unverified
USGS-04092677,"GRAND CALUMET RIVER AT INDUSTRIAL HWY AT GARY, IN",41.60781377,-87.3936506,,,Unverified
USGS-05523865,"CARPENTER CREEK AT REMINGTON, IN",40.7780833,-87.1633611,,,Unverified
USGS-05536195,"LITTLE CALUMET RIVER AT MUNSTER, IN",41.5775,-87.5222222,,,Unverified
USGS-05536356,"GRAND CALUMET RIVER AT COLUMBIA AV AT HAMMOND, IN",41.6186111,-87.4998333,,,Unverified
USGS-05422470,"Crow Creek at Bettendorf, IA",41.55114444,-90.4551306,,,Unverified
USGS-073802284,"New River Canal east of Sorrento, LA",30.18925,-90.7812778,,,Unverified
USGS-07380238,"Naomi Diversion Canal near Naomi, LA",29.6991111,-89.9888611,,,Unverified
USGS-0158397967,"MINEBANK RUN NEAR GLEN ARM, MD",39.4096111,-76.55725,,,Unverified
USGS-03075850,"ARROWHEAD RUN AT THAYERVILLE, MD",39.50275,-79.3271944,,,Unverified
USGS-0110057120,"ELM BROOK AT ROUTE 2A NEAR LINCOLN, MA",42.4528333,-71.3043056,,,Unverified
USGS-0110057380,"HARTWELL BROOK AT BEDFORD, MA",42.4813333,-71.2696667,,,Unverified
USGS-01104405,"HOBBS BROOK AT MILL ST NR LINCOLN, MA",42.436484,-71.2695014,,,Unverified
USGS-011055525,"PONKAPOAG BRK UPSTREAM RT 138,NR CANTON, MA",42.19027778,-71.1144444,,,Unverified
USGS-0110588332,"MARSTONS MILLS RV, DS OUT. OF BOG, MARS. MILLS, MA",41.66710556,-70.42362778,,,Unverified
USGS-0110588340,"SANTUIT RIVER AT OLD KINGS ROAD AT SANTUIT, MA",41.62747588,-70.4505591,,,Unverified
USGS-04037500,"CISCO BRANCH ONTONAGON R AT CISCO LAKE OUTLET, MI",46.25330556,-89.4524722,,,Unverified
USGS-04043244,"EAST BRANCH SALMON TROUT RIVER NEAR DODGE CITY, MI",46.7857589,-87.8523522,,,Unverified
USGS-04057813,"GREENWOOD DIVERSION NEAR GREENWOOD, MI",46.43438238,-87.7695795,,,Unverified
USGS-04057814,"GREENWOOD RELEASE NEAR GREENWOOD, MI",46.4393822,-87.7979128,,,Unverified
USGS-041015313,"OSBORN DRAIN AT DEWEY LAKE ST NR GLENWOOD, MI",42.05587699,-86.0689021,,,Unverified
USGS-04102776,"MIDDLE BRANCH BLACK RIVER NEAR SOUTH HAVEN, MI",42.4325306,-86.2069742,,,Unverified
USGS-04121494,"CHIPPEWA CREEK AT 90TH AVENUE NEAR EVART, MI",43.9258333,-85.2666667,,,Unverified
USGS-04164300,"EAST BRANCH COON CREEK AT ARMADA, MI",42.84586297,-82.8849278,,,Unverified
USGS-04164500,"NORTH BRANCH CLINTON RIVER NEAR MT. CLEMENS, MI",42.62920008,-82.8888104,,,Unverified
USGS-04168580,"ECORSE RIVER AT DEARBORN HEIGHTS, MI",42.2694826,-83.28965169,,,Unverified
USGS-02429980,"POLLARD MILL BRANCH AT PADEN, MS",34.65388889,-88.24888889,,,Unverified
USGS-02474600,"BOGUE HOMO NR RICHTON, MS",31.4036111,-89.0216667,,,Unverified
USGS-02485650,"PURPLE CREEK AT JACKSON, MS",32.37888889,-90.1211111,,,Unverified
USGS-07274251,"TOWN CREEK AT WATER VALLEY, MS",34.1475,-89.6333333,,,Unverified
USGS-330304090210100,"BEE LAKE TRIBUTARY NO 1 NR THORNTON, MS",33.0511111,-90.3502778,,,Unverified
USGS-330339091022000,"LK WASHINGTON TRIB NO 2 NR MARATHON, MS",33.06083333,-91.0388889,,,Unverified
USGS-330548091055100,"LK WASHINGTON TRIB AT STEIN RD NR CHATHAM, MS",33.09666667,-91.0975,,,Unverified
USGS-06164623,Little Warm Cr Tributary nr Lodge Pole MT,47.99523889,-108.3200528,,,Unverified
USGS-06327450,Cains Coulee at Glendive MT,47.09420556,-104.7132667,,,Unverified
USGS-09415915,"WARM SPGS W INFLOW NR MOAPA, NV",36.71051944,-114.7146056,,,Unverified
USGS-362605114163001,"BEAR PAW POPPY SPRING OUTFLOW NR LAKE MEAD, NV",36.43478056,-114.275111,,,Unverified
USGS-01398107,Holland Brook at Readington NJ,40.5583333,-74.73,,,Unverified
USGS-01403500,Green Brook at Plainfield NJ,40.615,-74.4316667,,,Unverified
USGS-01303000,MILL NECK CREEK AT MILL NECK NY,40.88741667,-73.5631944,,,Unverified
USGS-01303500,COLD SPRING BROOK AT COLD SPRING HARBOR NY,40.85716667,-73.4635556,,,Unverified
USGS-01315226,VANDERWHACKER BROOK TRIB 1 NEAR BOREAS RIVER NY,43.9485,-73.9883611,,,Unverified
USGS-01315227,VANDERWHACKER BROOK TRIB 2 NEAR BOREAS RIVER NY,43.94819444,-73.9901111,,,Unverified
USGS-01362357,WARNER CREEK NEAR CHICHESTER NY,42.09616667,-74.2904167,,,Unverified
USGS-01434021,W BR NEVERSINK R AT WINNISOOK L NR FROST VALLEY NY,42.0111111,-74.4144444,,,Unverified
USGS-04232053,MILL CREEK NEAR WEBSTER NY,43.25769444,-77.4468611,,,Unverified
USGS-04235890,GROUT BROOK NEAR FAIR HAVEN NY,42.74202778,-76.2653611,,,Unverified
USGS-04253294,"BUCK CREEK, SOUTH TRIBUTARY, NEAR INLET NY",43.74188889,-74.7109167,,,Unverified
USGS-04253295,"BUCK CREEK, NORTH TRIBUTARY, NEAR INLET NY",43.74369444,-74.7132222,,,Unverified
USGS-04253296,BUCK CREEK NEAR INLET NY,43.74402778,-74.7216667,,,Unverified
USGS-04274185,WHITE BROOK NEAR WILMINGTON NY,44.392,-73.85738889,,,Unverified
USGS-0208524090,"MOUNTAIN CREEK AT SR1617 NR BAHAMA, NC",36.1497222,-78.8966667,,,Unverified
USGS-0208732534,"PIGEON HOUSE CR AT CAMERON VILLAGE AT RALEIGH, NC",35.7875,-78.6547222,,,Unverified
USGS-0208732593,"PIGEON HOUSE CREEK AT FENTON STREET AT RALEIGH, NC",35.8029583,-78.6202528,,,Unverified
USGS-0208732885,"MARSH CREEK NEAR NEW HOPE, NC",35.81694444,-78.5930556,,,Unverified
USGS-0208735012,"ROCKY BRANCH BELOW PULLEN ROAD AT RALEIGH, NC",35.78,-78.66638889,,,Unverified
USGS-0212430653,"MCKEE CREEK AT SR2804 NR WILGROVE, NC",35.25388889,-80.6480556,,,Unverified
USGS-0214265828,"MCDOWELL CR TRIB AT SR2131 NR HICKS CROSSROADS, NC",35.40178889,-80.9175194,,,Unverified
USGS-0214266080,"GAR CREEK AT SR2074 NR CROFT, NC",35.36138889,-80.8975,,,Unverified
USGS-0214297160,"BEAVERDAM CREEK AB WINDY GAP ROAD NR SHOPTON, NC",35.1697222,-80.9877778,,,Unverified
USGS-0214643820,"EDWARDS BRANCH AT SHEFFIELD DR AT CHARLOTTE, NC",35.2033333,-80.7722222,,,Unverified
USGS-0214678175,"STEELE CREEK AT SR1441 NR PINEVILLE, NC",35.105,-80.9536111,,,Unverified
USGS-0347927162,"BUCKEYE CR ABOVE BUCKEYE LAKE NEAR CANNON GAP, NC",36.21742778,-81.9081222,,,Unverified
USGS-0347927164,"BUCKEYE CR BELOW BUCKEYE LAKE NEAR CANNON GAP, NC",36.2200083,-81.9076056,,,Unverified
USGS-03102950,Pymatuning Creek at Kinsman OH,41.44283235,-80.58812999,,,Unverified
USGS-03232470,Paint Creek near Bainbridge OH,39.25228728,-83.3493577,,,Unverified
USGS-452736122294900,"MITCHELL CREEK AT SE 162nd AVE, AT PORTLAND, OR",45.46,-122.4969444,,,Unverified
USGS-452807122215001,"N FK JOHNSON CR NR SE ORIENT DR, NR GRESHAM, OR",45.46866667,-122.3639722,,,Unverified
USGS-01115297,WILBUR HOLLOW BK AT OLD PLAINFIELD PK NR CLAYVILLE,41.7648219,-71.6356207,,,Unverified
